Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-07-06T12:34:49.603Z,,,Included,auto,No,0,3358,301888,4072,309318,Included
2026-07-06T12:25:35.708Z,,,Included,auto,No,0,47400,981152,6171,1034723,Included
2026-07-06T11:25:49.417Z,,,Included,auto,No,0,7648,642208,2895,652751,Included
2026-07-06T11:24:01.238Z,,,Included,auto,No,0,86360,736192,10272,832824,Included
2026-07-06T11:23:22.697Z,,,Included,auto,No,0,1807,102560,1129,105496,Included
2026-07-06T11:21:28.428Z,,,Included,auto,No,0,1522,48448,1268,51238,Included
2026-07-06T11:19:57.757Z,,,Included,auto,No,0,6272,132416,1601,140289,Included
2026-07-06T11:19:18.746Z,,,Included,auto,No,0,1272,41728,1187,44187,Included
2026-07-06T11:17:23.856Z,,,Included,auto,No,0,101936,64512,1152,167600,Included
2026-07-06T11:14:34.331Z,,,Included,auto,No,0,2051,38400,388,40839,Included
2026-07-06T11:09:47.348Z,,,Included,auto,No,0,30058,46144,1855,78057,Included
2026-07-06T11:07:08.490Z,,,Included,auto,No,0,95029,173824,3992,272845,Included
2026-07-06T11:05:55.563Z,,,Included,auto,No,0,4795,241344,557,246696,Included
2026-07-06T11:02:25.608Z,,,Included,auto,No,0,3311,77088,550,80949,Included
2026-07-06T11:01:10.123Z,,,Included,auto,No,0,782,78432,912,80126,Included
2026-07-06T10:58:37.965Z,,,Included,auto,No,0,51628,759424,12581,823633,Included
2026-07-06T10:55:01.057Z,,,Included,auto,No,0,69764,396992,9587,476343,Included
2026-07-06T10:52:19.579Z,,,Included,auto,No,0,5901,183445,700,190046,Included
2026-07-06T10:51:42.900Z,,,"Errored, No Charge",auto,No,,,,,,Free
2026-07-06T10:43:47.661Z,,,Included,auto,No,0,11678,372164,4298,388140,Included
2026-07-06T10:39:42.139Z,,,Included,auto,No,0,38134,383668,7077,428879,Included
2026-07-06T10:38:07.387Z,,,Included,auto,No,0,27925,174022,1976,203923,Included
2026-07-06T10:34:32.850Z,,,Included,claude-opus-4-8-thinking-high,No,9407,16,986696,6631,1002750,Included
2026-07-06T10:32:06.752Z,,,Included,claude-opus-4-8-thinking-high,No,12811,22,1235821,6793,1255447,Included
2026-07-06T10:30:41.894Z,,,Included,claude-opus-4-8-thinking-high,No,803,2,104104,1427,106336,Included
2026-07-06T10:29:26.049Z,,,Included,claude-opus-4-8-thinking-high,No,4043,4,200763,3784,208594,Included
2026-07-06T10:28:31.178Z,,,Included,claude-opus-4-8-thinking-high,No,3909,8,391749,1571,397237,Included
2026-07-06T10:26:16.802Z,,,Included,claude-opus-4-8-thinking-high,No,8575,10,455374,3490,467449,Included
2026-07-06T10:25:17.889Z,,,Included,claude-opus-4-8-thinking-high,No,87577,4,86411,1977,175969,Included
2026-07-06T10:21:13.231Z,,,Included,auto,No,0,5348,188469,1653,195470,Included
2026-07-06T10:20:06.547Z,,,Included,auto,No,0,2797,85156,1683,89636,Included
2026-07-06T10:17:54.299Z,,,Included,auto,No,0,5098,114451,3176,122725,Included
2026-07-06T10:12:43.757Z,,,Included,auto,No,0,10717,185738,4347,200802,Included
2026-07-06T10:11:40.809Z,,,Included,auto,No,0,111189,249216,793,361198,Included
2026-07-06T10:09:28.834Z,,,Included,auto,No,0,17179,72473,3378,93030,Included
2026-07-06T10:06:17.804Z,,,Included,auto,No,0,3589,347232,1847,352668,Included
2026-07-06T09:57:18.425Z,,,Included,auto,No,0,4509,560928,1941,567378,Included
2026-07-06T09:55:53.489Z,,,Included,auto,No,0,800,109216,946,110962,Included
2026-07-06T09:54:05.510Z,,,Included,auto,No,0,100209,9024,469,109702,Included
2026-07-06T09:37:02.145Z,,,Included,auto,No,0,35599,1785216,19456,1840271,Included
2026-07-06T09:28:00.722Z,,,Included,auto,No,0,95808,1441856,16823,1554487,Included
2026-07-06T09:27:42.894Z,,,"Errored, No Charge",auto,No,,,,,,Free
2026-07-06T09:21:08.168Z,,,Included,auto,No,0,3919,113472,2175,119566,Included
2026-07-06T09:18:43.912Z,,,Included,auto,No,0,31657,143264,3176,178097,Included
2026-07-06T09:15:08.625Z,,,Included,auto,No,0,42768,169280,3939,215987,Included
2026-07-06T09:13:06.227Z,,,Included,auto,No,0,1789,595456,953,598198,Included
